AREA,NAME,POPU2009,YEARREGIST,AreaKmSq,Name2,Name2_1,OBJECTID_1,OBJECTID,Id,SOURCETHM,Shape_Leng,PERIMETER,KENSUBS_ID,KENSUBS_1,KENSUBS__1,SLID,SLNAME,LOCID,LOCNAME,DIVID,DIVNAME,DISTID,DISTNAME,PROVID,PROVNAME,AREA2,CONSTITUEN,CONSTI_COD,COUNT,SUM_HOUSEH,SUM_MALES,SUM_FEMALE,SUM_GRTOTA,Area_Sq_km,Shape_Le_1,Shape_Area,Category,Conservanc,sqkm,Ha,Acres,FID_New_am,PARKNEWDD_,PARKNEWDD1,PTA,FID_nation,AREANAME,ISO3,LAT,LON,DESIGNATE,GISNAME,SOURCE_ID,IUCNCAT,STATUS,SITE_CODE,COUNTRY,MARINE,POLY,ADMIN,MANAGEMENT,OWNER,EST_DATE,AREA_HA,NOTES,SOURCE,Z000_VISIT,VISTOR_HA,PERC_VISIT,AREA_SQKM_,FID_nati_1,AREANAME_1,ISO3_1,LAT_1,LON_1,DESIGNAT_1,GISNAME_1,SOURCE_I_1,IUCNCAT_1,STATUS_1,SHAPE_AR_1,SITE_COD_1,COUNTRY_1,MARINE_1,POLY_1,ADMIN_1,MANAGEME_1,OWNER_1,EST_DATE_1,AREA_HA_1,NOTES_1,SOURCE_1,Z000_VIS_1,VISTOR_H_1,PERC_VIS_1,AREA_SQKM1,Shape_Le_2,Hectares,XCOORD,YCOORD
4251330000.0,Shurr,1204,2013,425,,Shurr,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,38.504086,2.104798
5467770000.0,Melako,17192,2004,546,,Melako,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.929295,1.681289
2871470000.0,Namunyak,26643,1995,287,,Namunyak,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.398499,1.229172
953155000.0,Mathew's Range Forest,1448,0,953,,Namunyak,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.316317,1.224417
3772840000.0,Biliqo Bulesa,4781,2007,377,,Biliqo Bulesa,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,38.273857,1.131678
3400280000.0,Sera,6820,2001,340,,Sera,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.801582,1.019849
1027430000.0,Meibae,10029,2006,102,,Meibae,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.137956,0.899939
194831000.0,Ltungai,4495,2002,195,,Ltungai,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.490652,0.899765
366712000.0,West Gate,3684,2004,367,,West Gate,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.349952,0.731202
498926000.0,Kalama,8162,2002,499,,Kalama,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.515348,0.724845
715935000.0,Nakuprat-Gotu,5520,2010,716,,Nakuprat-Gotu,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.965887,0.671948
178968000.0,Ruko,3205,2006,179,,Ruko,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,36.146902,0.658889
553377000.0,Mpus Kutuk,8416,2007,553,,Mpus Kutuk,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.239276,0.605369
233979000.0,Shaba National Reserve,0,0,234,,Shaba National Reserve,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.839662,0.646436
175900000.0,Samburu National Reserve,0,0,176,,Samburu National Reserve,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.539009,0.612005
119931000.0,Buffalo National Reserve,0,0,120,,Buffalo National Reserve,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.606455,0.55843
341861000.0,Nasuulu,4262,2011,342,,Nasuulu,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.488279,0.487451
458281000.0,Naibunga,12193,2001,458,,Naibunga,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.035172,0.476967
154259000.0,Lekurruki,4820,1999,154,,Lekurruki,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.265718,0.470165
335998000.0,Leparua,8590,2011,336,,Leparua,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.449063,0.366857
92958500.0,II Ngwesi,1448,1995,93,,II Ngwesi,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.357754,0.333877
55107200.0,Ngare Ndare,7186,2000,55,,Ngare Ndare,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.365842,0.161743
4251330000.0,Jaldessa,1204,2013,425,,Jaldessa,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,38.075412,2.349565
4251330000.0,Songa,1204,2013,425,,Songa,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,37.913859,2.15986
732.661369756,Ishaqbini,0,0,0,,,5,5,0,,121141.811861,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123062.121711,732661369.756,NRT Conservancy,Ishaqbini,732.661369756,73266.1369756,181044.56726,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,40.292727,-1.862035
1155.43233702,Ndera,0,0,0,,,16,18,0,,168155.699605,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169515.971397,1155432337.02,NRT Conservancy,Ndera,1155.43233702,115543.233702,285513.548399,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,39.961736,-1.938594
791.070747271,Hanshak- Nyangoro,0,0,0,,,0,1,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,792.702742033,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,40.332797,-2.229991
239.361252709,Kiunga Marine,0,0,0,,,0,0,0,,1.51331068117,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51331068117,0.01969465874,,,0.0,0.0,0.0,-1,0.0,0.0,0,169,Kiunga,KEN,-1.896373,41.338115,Marine National Reserve,Kiunga Marine National Reserve,KEN_03,VI,Designated,3038,Kenya,Y,Y,Unset,Unset,Unset,1979-01-01,25000.0,,,0.0,0.0,-998.0,243.369677,169,Kiunga,KEN,-1.896373,41.338115,Marine National Reserve,Kiunga MNaR,KEN_03,VI,Designated,0.01969465874,3038,Kenya,Y,Y,Unset,Unset,Unset,1979-01-01,25000.0,,,0.0,0.0,-998.0,243.369677,0.0,0.0,41.339748,-1.896305
512.994289984,LTDC,0,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512994289.984,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,146651.962497,0.0,40.316836,-2.53384
1516.07708366,Awer,0,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,1899-12-30,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,1899-12-30,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,41.068725,-1.817358
278.306019648,Pate,0,0,0,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,1899-12-30,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,1899-12-30,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,41.081296,-2.125234
0.0,Pellow,0,0,0,,,1,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119261.477824,529222187.515,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,52922.2187515,35.3851,1.77845
0.0,Kainuk,0,0,0,,,2,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245868.205763,1684191698.47,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,168419.169847,35.51814,2.002497
0.0,Katilu,0,0,0,,,3,1,0,,177392.602383,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177392.602383,1143191251.46,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,114319.125146,35.512522,2.272539
0.0,Lochakula,0,0,0,,,4,1,0,,313926.747895,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313926.747895,2997899182.01,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,299789.918201,35.880241,1.866341
0.0,Lokichar,0,0,0,,,5,1,0,,427487.208868,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385798.128533,4536922407.72,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,453692.240772,35.807153,2.55046
0.0,Masol,0,0,0,,,6,1,0,,233247.388243,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233247.388243,1518993844.82,,,0.0,0.0,0.0,0,0.0,0.0,0,0,,,0.0,0.0,,,,,,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0,,,0.0,0.0,,,,,,0.0,0,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,151899.384482,35.584542,1.55554
